Časová značka,ID.dotaznik,ID.tazatel,ID.supervizor,Date,Incidence.number,A.1,A.2,A.3,B.1,B.2,B.3,B.4,B.5,B.5a,C.1,C.1a,C.1.1,C.1.2,D.1,D.1a,D.1.1,D.1.1a,D.1.2,D.1.3,D.1.4,E.1,E.1.1,E.1.2,E.1.2male,E.1.2female,E.1.3,E.1.3-8,E.1.4,E.1.5,E.1.5-1,F.1,F.1.1,F.1.2,F.1.3,G.1,G.1.1,G.2,G.2.1,G.2.2,G.2.3,G.2.3-15,H.1,H.2,H.2-2,H.3,H.4,H.5,H.6,prepsal,Type.of.incidence,A.2,A.3,B.1,B.2,B.3,B.4,B.5,B.5-answer,C.1,C.1-answer,C.1.1,C.1.2,D.1,D.1-answer,D.1.1,D.1.1-answer,D.1.2,D.1.3,D.1.4,E.1,E.1.1,E.1.2,E.1.3,E.1.4,E.1.4-answer,E.1.5,E.1.5-answer,F1.,F1.1,F.1.1-answer,F.1.2,F.1.3,G.1,G.1.1,G.2,G.2.1,G.2.1-answer,G.2.2,H.1,H.2,H.2-answer,H.3,H.4,H.5,H.6
11.7.2016 14:38:17,TTAA-2034-2-16,VISO,VISO,17.5.2016,4,11,internetovy podvod,5,4,98,98,1,1,,1,penize,300,4,2,,,,,,,7,,,,,,,,,,2,,,,2,,2,2,rada do zivota ať chodim do kamenych obchodů,"2, 7",,,,,,,,,,SVL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.7.2016 14:41:46,TTAA-2034-2-16,VISO,VISO,17.5.2016,5,22,V parku muz nabizel marihuanu,7,10,6,4,1,10,,2,,,,2,,,,,,,1,1,1,1,,3,,1,1,R,2,,,,2,,2,2,rodice poradili ať se drogam vyhybam,2,,,,,,,,,,SVL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.7.2016 14:46:43,TTAA-2034-2-16,VISO,VISO,17.5.2016,6,9,Romove pokrikovali rasove nadavky,6,7,98,4,1,7,,2,,,,2,,,,,,,3,3,3,2,1,2,,1,1,R,2,,,,1,rasove narazky,2,2,jsou to blbci,2,,,,,,,,,,SVL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.7.2016 15:08:48,JJIA-122-1-68,ADLA,LATO,1.7.2016,1,19,"vratil se, nasel vykradeny byt",7,3,4,4,1,1,,1,"jidlo, penize, rozbite dvere",3000,7,2,,,,,,,99,,,,,,,,1,R,2,,,,2,,2,3,,7,,,,,,,,,,SVL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.7.2016 15:12:11,JJIA-122-1-68,ADLA,LATO,1.7.2016,2,5,na ulici mi ukradli penezenku,7,98,98,4,1,7,,1,"ukradene penize, doklady",3000,7,2,,,,,,,7,,,,,,,,,,2,,,,2,,2,2,,7,,,,,,,,,,SVL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.7.2016 15:35:20,JJIB-?-1-17,ADLA,LATO,1.7.2016,1,6,Kradez kol od automobilu,2,2,2,3,1,7,,1,kola od automobilu,800,2,2,,,,,,,7,,,,,,,,,,2,,,,2,,2,3,,2,,,,,,,,,,SVL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.7.2016 15:40:09,JJIB-?-1-17,ADLA,LATO,1.7.2016,2,21,opakovane vyhrozovani nasilim - do gadzů,3,1,98,3,1,7,,2,,,,2,,,,,,,5,3,3,,,3,,1,1,C,2,,,,1,rasisticke nadavky,2,2,,"6, 9",,,,,,,,,,SVL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.7.2016 15:44:59,JJIB-?-1-17,ADLA,LATO,1.7.2016,3,16,"vyplacena polovina domluvene castky za úklidove prace na cerno (misto 4 tis, pouze 2 tis.)",5,3,98,3,2,9,,1,nezaplacena mzda,2000,5,2,,,,,,,1,1,1,1,,5,,38,1,R,2,,,,1,diskriminace,2,2,,"6, 10, 13",,,,,,,,,,SVL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.7.2016 16:35:59,OOLB-377-2-54,ONRA,ONPL,22.4.2016,1,20,"POMOHLA ZENE, KTERA BYLA BITA MANZELEM - TEN JE VYHROZOVAL SMRTI",7,9,98,4,1,1,,2,,,,2,,,,,,,1,1,1,1,,5,,29,1,R,2,,,,2,,1,,,,,KOMISE - VYPOVIDAT,1,,2,1,3,7,,SVL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11.7.2016 16:39:45,OOLB-377-2-54,ONRA,ONPL,22.4.2016,2,9,NECHCE O TOM MLUVIT,4,7,98,3,1,10,,2,,,,2,,,,,,,1,1,1,1,,6,,1,1,BILEJ,2,,,,1,NADAVKY DO ROMU,2,2,,7,,,,,,,,,,SVL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
